seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
1460262605,198,0.4102,0.236825,0.0109,1,6,3,6.06,3.57333,13.1183,0.008156,0.178762,13.308
1460262605,199,0.4102,0.273105,0.0159,1,6,3,6.02667,3.56667,15.6277,0.013433,0.356224,16.0008
1460262605,200,0.4102,0.272297,0.0108,1,6,5,6.02667,3.76667,16.1356,0.008384,0.240743,16.3874
1460262605,201,0.4102,0.298343,0.0107,1,6,3,6.04667,3.82667,16.7104,0.008325,0.180173,16.9024
1460262605,202,0.4102,0.252605,0.0104,1,6,3,6.06667,3.76,14.1664,0.008098,0.178492,14.3553
1460262605,203,0.4102,0.257355,0.01,1,6,3,6.05333,3.52667,14.3989,0.008035,0.184166,14.5933
1460262605,204,0.4102,0.272048,0.0108,1,6,4,6.03333,3.62,15.4815,0.008491,0.183902,15.6764
1460262605,205,0.4102,0.264263,0.01,1,6,3,6.01333,3.58667,15.2396,0.008085,0.176868,15.4279
1460262605,206,0.4102,0.275373,0.0106,1,6,4,6.06667,3.53333,15.5414,0.009519,0.180985,15.7358
1460262605,207,0.4102,0.297439,0.0136,1,6,3,6.02667,3.47333,17.3921,0.008406,0.181688,17.5848
1460262605,208,0.4102,0.271408,0.0109,1,6,4,6.04667,3.66,14.9788,0.011783,0.229136,15.2224
1460262605,209,0.4102,0.290491,0.0125,1,6,3,6.02,3.61333,16.5326,0.011606,0.181811,16.7291
1460262605,210,0.4102,0.294299,0.0097,1,6,4,6.06,3.59333,16.5264,0.007699,0.172193,16.7089
1460262605,211,0.4102,0.282018,0.0099,1,6,3,6.02,3.62,15.6818,0.008084,0.175048,15.867
1460262605,212,0.4102,0.288656,0.0156,1,6,3,6.02667,3.54667,16.415,0.013686,0.227027,16.6592
1460262605,213,0.4102,0.258159,0.0109,1,6,3,6.02,3.42667,14.6616,0.007885,0.180884,14.853
1460262605,214,0.4102,0.285365,0.0102,1,6,3,6.02,3.5,16.1908,0.007478,0.171673,16.3721
