seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
409087781,0,0.0186,0.012198,0.0092,1,0.563571,0.034746,0.162839,0.76352
409087781,1,0.0219,0.014266,0.0098,1,0.182527,0.009257,0.143713,0.336439
409087781,2,0.0318,0.016514,0.0097,1,0.189289,0.009378,0.136369,0.335797
409087781,3,0.029,0.0177433,0.0114,1,0.238573,0.009137,0.132983,0.381565
409087781,4,0.029,0.0195007,0.0121,1,0.218275,0.010019,0.138293,0.367378
409087781,5,0.033,0.0200173,0.0115,1,0.22663,0.009408,0.132732,0.369521
409087781,6,0.0506,0.0213853,0.0121,1,0.295421,0.009829,0.13162,0.437722
409087781,7,0.0506,0.0227373,0.0121,1,0.297735,0.009668,0.135848,0.444053
409087781,8,0.0546,0.024492,0.0118,1,0.320158,0.010049,0.133033,0.464071
409087781,9,0.0506,0.0245487,0.0126,1,0.304699,0.009849,0.13677,0.452199
409087781,10,0.0506,0.025364,0.0127,1,0.290311,0.009768,0.139415,0.440336
409087781,11,0.0538,0.0258373,0.0123,1,0.311291,0.009538,0.140367,0.461998
409087781,12,0.0589,0.027594,0.0142,1,0.30548,0.010009,0.132952,0.449243
409087781,13,0.0618,0.0287007,0.0098,1,0.33154,0.009528,0.130899,0.472748
409087781,14,0.0618,0.029286,0.0106,1,0.322693,0.009188,0.134495,0.467227
409087781,15,0.0752,0.0315087,0.0107,1,0.45773,0.009578,0.130308,0.598417
409087781,16,0.0752,0.0320087,0.0145,1,0.378299,0.009719,0.146909,0.535788
409087781,17,0.069,0.0319627,0.0142,1,0.375643,0.009908,0.132402,0.518715
409087781,18,0.0768,0.0327013,0.0133,1,0.374111,0.009318,0.132702,0.516962
409087781,19,0.1039,0.0333633,0.0107,1,0.398066,0.009599,0.127522,0.535988
409087781,20,0.0748,0.03406,0.0108,1,0.397886,0.009538,0.133604,0.541879
409087781,21,0.0809,0.034026,0.0137,1,0.38928,0.009358,0.136379,0.535798
409087781,22,0.0838,0.033154,0.012,1,0.390401,0.009367,0.132551,0.533132
409087781,23,0.0875,0.0380093,0.0141,1,0.41103,0.01004,0.134826,0.556748
409087781,24,0.2137,0.03717,0.0121,1,0.485452,0.009828,0.133063,0.629215
409087781,25,0.1327,0.0391707,0.0116,1,0.808104,0.010149,0.139986,0.959131
409087781,26,0.1383,0.0390493,0.0142,1,0.846588,0.009979,0.135197,0.992786
409087781,27,0.2136,0.044026,0.0109,1,0.851778,0.009929,0.133354,0.995982
409087781,28,0.2139,0.0460853,0.0105,1,0.852649,0.009908,0.137221,1.00068
409087781,29,0.2139,0.0557887,0.0131,1,0.849613,0.009578,0.136299,0.996483
409087781,30,0.2142,0.0489987,0.0112,1,0.851577,0.010009,0.132031,0.994559
409087781,31,0.2142,0.0574633,0.0138,1,0.866075,0.009538,0.133354,1.00984
409087781,32,0.2142,0.0594153,0.011,1,0.854583,0.010029,0.141258,1.00677
409087781,33,0.2143,0.0569533,0.0146,1,0.840306,0.009878,0.140387,0.991543
409087781,34,0.2143,0.064326,0.0142,1,0.936879,0.009899,0.142431,1.09019
409087781,35,0.2143,0.0670593,0.0162,1,1.18608,0.009798,0.134205,1.33094
409087781,36,0.2144,0.0749927,0.0127,1,0.920819,0.009688,0.129205,1.06055
409087781,37,0.2146,0.0753687,0.0115,1,0.913265,0.009548,0.138343,1.06192
409087781,38,0.2146,0.0897933,0.0155,1,1.00652,0.009599,0.133553,1.15057
409087781,39,0.2146,0.0848173,0.0139,1,0.974681,0.009698,0.133063,1.1183
409087781,40,0.2145,0.0944093,0.0131,1,1.04101,0.009668,0.139756,1.19133
409087781,41,0.2148,0.10361,0.0137,1,1.15252,0.009228,0.127883,1.29043
409087781,42,0.2167,0.0982553,0.0101,1,1.10473,0.010019,0.134756,1.25046
409087781,43,0.2149,0.103582,0.0127,1,1.35984,0.009619,0.139635,1.5099
409087781,44,0.2166,0.108777,0.0143,1,1.10132,0.009909,0.133895,1.24606
409087781,45,0.2214,0.103617,0.0095,1,1.21512,0.009648,0.13143,1.357
409087781,46,0.2177,0.127569,0.0107,1,1.41023,0.009357,0.134215,1.55464
409087781,47,0.4102,0.135355,0.0139,1,1.46992,0.009498,0.131459,1.61169
409087781,48,0.4102,0.136123,0.0111,1,1.41229,0.009879,0.133393,1.55653
409087781,49,0.4102,0.148998,0.0151,1,1.61702,0.009418,0.133293,1.76064
409087781,50,0.4102,0.152423,0.0171,1,1.74332,0.009538,0.133263,1.88695
409087781,51,0.4102,0.163889,0.0109,1,1.76784,0.009869,0.134345,1.91285
409087781,52,0.4102,0.185589,0.0103,1,1.97663,0.009549,0.134976,2.12211
409087781,53,0.4102,0.186462,0.0176,1,2.01936,0.011572,0.132662,2.1645
409087781,54,0.4103,0.183045,0.016,1,2.11721,0.009047,0.132883,2.26013
409087781,55,0.4102,0.199713,0.0145,1,2.26892,0.009328,0.134044,2.41313
409087781,56,0.4102,0.206681,0.0114,1,2.17687,0.009488,0.130197,2.31752
409087781,57,0.4102,0.191563,0.0115,1,2.1,0.009869,0.134225,2.24517
409087781,58,0.4102,0.200682,0.0145,1,2.11771,0.009659,0.132642,2.26103
409087781,59,0.4102,0.223013,0.0107,1,2.44711,0.009448,0.133393,2.59087
409087781,60,0.4102,0.240323,0.0104,1,2.47332,0.009798,0.136258,2.62028
409087781,61,0.4102,0.20591,0.0119,1,2.18892,0.009498,0.131029,2.33042
409087781,62,0.4102,0.238533,0.0165,1,2.48563,0.009508,0.133433,2.62956
409087781,63,0.4102,0.217763,0.0102,1,2.26469,0.009819,0.128083,2.40356
409087781,64,0.4102,0.218595,0.0108,1,2.27318,0.010129,0.135076,2.41942
409087781,65,0.4102,0.213403,0.0147,1,2.32846,0.010019,0.137201,2.47678
409087781,66,0.4102,0.227851,0.009,1,2.29666,0.009698,0.138253,2.44551
409087781,67,0.4102,0.226342,0.0127,1,2.48973,0.010059,0.129796,2.63064
409087781,68,0.4102,0.241229,0.0098,1,2.59179,0.010179,0.135518,2.73866
409087781,69,0.4102,0.254957,0.0149,1,2.66855,0.009529,0.13687,2.81579
409087781,70,0.4102,0.259945,0.0162,1,2.63049,0.009959,0.136439,2.77792
409087781,71,0.4102,0.250813,0.0124,1,2.5011,0.009367,0.138574,2.64991
409087781,72,0.4102,0.248802,0.0161,1,2.51347,0.009859,0.135767,2.66005
409087781,73,0.4102,0.233131,0.0165,1,2.42218,0.009719,0.132151,2.5651
409087781,74,0.4102,0.244028,0.0103,1,2.4487,0.009789,0.135076,2.59464
409087781,75,0.4102,0.248843,0.0121,1,2.75473,0.009448,0.133183,2.89852
409087781,76,0.4102,0.226125,0.0113,1,2.35495,0.009668,0.136109,2.50175
409087781,77,0.4102,0.254536,0.0167,1,2.64713,0.009979,0.1317,2.78968
409087781,78,0.4102,0.255319,0.0165,1,2.57364,0.009679,0.135297,2.7195
409087781,79,0.4102,0.265365,0.0162,1,2.7078,0.008757,0.137561,2.85494
409087781,80,0.4102,0.257289,0.01,1,2.59375,0.009739,0.130949,2.73564
409087781,81,0.4102,0.261915,0.0166,1,2.80865,0.009819,0.131911,2.95149
409087781,82,0.4102,0.266881,0.0124,1,2.82235,0.009968,0.133944,2.96743
409087781,83,0.4102,0.285334,0.0095,1,3.04692,0.009659,0.129526,3.18701
409087781,84,0.4102,0.280107,0.0099,1,2.86457,0.009879,0.146098,3.02142
409087781,85,0.4102,0.254572,0.0166,1,2.58817,0.009689,0.132361,2.73145
409087781,86,0.4102,0.259227,0.0176,1,3.38457,0.012263,0.086665,3.48613
409087781,87,0.4102,0.251576,0.0152,1,2.8473,0.01014,0.144153,3.00266
409087781,88,0.4102,0.25878,0.016,1,2.63373,0.010159,0.142531,2.78737
409087781,89,0.4102,0.263811,0.0102,1,2.59859,0.009788,0.133354,2.74259
409087781,90,0.4102,0.253974,0.0089,1,2.54021,0.010149,0.134105,2.68549
409087781,91,0.4102,0.285519,0.01,1,3.14585,0.010129,0.130288,3.28753
409087781,92,0.4102,0.274753,0.009,1,2.79516,0.010129,0.139676,2.94609
409087781,93,0.4102,0.27365,0.0125,1,2.96118,0.010099,0.134686,3.10683
409087781,94,0.4102,0.294987,0.0138,1,2.86232,0.009839,0.133884,3.00689
409087781,95,0.4102,0.267287,0.011,1,2.70781,0.009628,0.135698,2.85428
409087781,96,0.4102,0.280395,0.0165,1,2.76935,0.009948,0.132342,2.91254
409087781,97,0.4102,0.282484,0.0126,1,2.91276,0.009548,0.129075,3.05254
409087781,98,0.4102,0.283109,0.0095,1,2.77425,0.009868,0.133944,2.91893
409087781,99,0.4102,0.280747,0.0163,1,2.77599,0.009588,0.129516,2.91601
409087781,100,0.4102,0.260203,0.016,1,2.77429,0.009919,0.128013,2.91326
409087781,101,0.4102,0.268479,0.0108,1,2.69372,0.009889,0.133203,2.83769
409087781,102,0.4102,0.305423,0.0165,1,3.3247,0.009608,0.133845,3.46932
409087781,103,0.4102,0.271867,0.0179,1,2.72089,0.009779,0.138423,2.87023
409087781,104,0.4102,0.251709,0.0165,1,2.52807,0.009819,0.135948,2.67484
409087781,105,0.4102,0.272847,0.0104,1,2.91132,0.009348,0.137161,3.05867
409087781,106,0.4102,0.264089,0.0156,1,2.70834,0.012404,0.133614,2.85538
409087781,107,0.4102,0.26931,0.0105,1,2.67464,0.009548,0.130367,2.81551
409087781,108,0.4102,0.269793,0.011,1,2.85662,0.01023,0.127903,2.99595
409087781,109,0.4102,0.286871,0.0163,1,3.02331,0.009649,0.135126,3.16921
409087781,110,0.4102,0.248189,0.0171,1,2.49158,0.010019,0.132281,2.63503
409087781,111,0.4102,0.278676,0.0099,1,2.93144,0.010189,0.134786,3.0777
409087781,112,0.4102,0.299313,0.0098,1,3.0311,0.009749,0.132051,3.17388
409087781,113,0.4102,0.283675,0.0149,1,2.90134,0.009818,0.130198,3.04235
409087781,114,0.4102,0.257181,0.0161,1,2.70086,0.010029,0.139836,2.85197
409087781,115,0.4102,0.269235,0.0102,1,2.72593,0.006563,0.080533,2.81391
409087781,116,0.4102,0.263305,0.0162,1,2.68427,0.01037,0.13197,2.82788
409087781,117,0.4102,0.261866,0.0091,1,2.65336,0.009688,0.13186,2.79588
409087781,118,0.4102,0.279243,0.0174,1,2.77537,0.010169,0.132872,2.91944
409087781,119,0.4102,0.268627,0.0109,1,2.69555,0.009929,0.13198,2.83851
409087781,120,0.4102,0.290249,0.0151,1,2.95663,0.01024,0.132271,3.10037
409087781,121,0.4102,0.272599,0.0145,1,2.90778,0.009798,0.133424,3.05217
409087781,122,0.4102,0.287647,0.0171,1,2.87628,0.0103,0.157058,3.04488
409087781,123,0.4102,0.266034,0.0112,1,2.5987,0.009599,0.13173,2.74087
409087781,124,0.4102,0.242555,0.0113,1,2.50655,0.01036,0.133564,2.65159
409087781,125,0.4102,0.280789,0.0096,1,3.01323,0.009769,0.131319,3.15547
409087781,126,0.4102,0.275578,0.0117,1,2.81575,0.01084,0.138173,2.96594
409087781,127,0.4102,0.259209,0.0133,1,2.6215,0.009989,0.138213,2.77086
409087781,128,0.4102,0.276408,0.0112,1,3.14423,0.010009,0.13707,3.2925
409087781,129,0.4102,0.260867,0.0112,1,2.58758,0.010109,0.163701,2.76243
409087781,130,0.4102,0.254493,0.0129,1,2.61598,0.009728,0.139365,2.76594
409087781,131,0.4102,0.266351,0.0111,1,2.70109,0.010139,0.135127,2.8476
409087781,132,0.4102,0.251917,0.0109,1,2.51335,0.009939,0.1318,2.6561
409087781,133,0.4102,0.283437,0.0114,1,2.86235,0.01026,0.14236,3.01619
409087781,134,0.4102,0.266284,0.0105,1,2.64094,0.01041,0.140918,2.79345
409087781,135,0.4102,0.270951,0.0134,1,2.91136,0.009989,0.13682,3.05942
409087781,136,0.4102,0.266909,0.0097,1,2.66203,0.009508,0.136399,2.80877
409087781,137,0.4102,0.287501,0.0161,1,2.93336,0.010079,0.135387,3.08009
409087781,138,0.4102,0.27669,0.0169,1,2.90576,0.009839,0.132973,3.04985
409087781,139,0.4102,0.299666,0.0092,1,3.46513,0.010339,0.134035,3.61092
409087781,140,0.4102,0.268946,0.0157,1,2.7176,0.010059,0.129476,2.85807
409087781,141,0.4102,0.28781,0.0101,1,2.88341,0.01026,0.135687,3.03038
409087781,142,0.4102,0.286575,0.0168,1,3.02719,0.009939,0.132933,3.17124
409087781,143,0.4102,0.254299,0.0164,1,2.60141,0.010319,0.135047,2.74806
409087781,144,0.4102,0.269849,0.0164,1,2.72873,0.010079,0.132051,2.87206
409087781,145,0.4102,0.281995,0.0095,1,2.80191,0.009558,0.132341,2.9448
409087781,146,0.4102,0.278869,0.0163,1,2.9097,0.009869,0.129866,3.0504
409087781,147,0.4102,0.294907,0.0105,1,3.0753,0.010551,0.135757,3.22278
409087781,148,0.4102,0.294193,0.0122,1,3.14839,0.009919,0.134956,3.29459
409087781,149,0.4102,0.276509,0.0151,1,3.64646,0.006122,0.10559,3.75916
409087781,150,0.4102,0.265425,0.0122,1,2.83831,0.009889,0.133434,2.9828
