seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
1150628275,319,15689.5,11447.7,1164.53,1,16,26,16.12,25.9533,167.725,0.079234,2.01777,169.848
1150628275,320,15710,12225.7,1007.88,1,16,27,16.18,25.56,186.068,0.059191,2.16377,188.315
1150628275,321,15741.3,11843.8,1143.59,1,16,27,16.1467,25.3333,202.443,0.08926,1.75259,204.317
1150628275,322,15701.9,11388.2,1139.19,1,17,27,16.2733,24.8733,160.833,0.07872,2.15273,163.094
1150628275,323,15705.5,11684.4,987.814,1,17,28,16.3333,25.3,148.526,0.080764,4.07247,152.706
1150628275,324,15734.9,10812.6,1137.98,1,17,25,16.3133,25.5867,206.101,0.072513,1.34685,207.546
1150628275,325,15698.6,12349.4,1082.08,1,17,27,16.32,25.0533,162.822,0.181451,2.26173,165.291
1150628275,326,15712,11861.4,936.725,1,16,28,16.36,25.06,158.289,0.08167,2.15098,160.553
1150628275,327,15712,12039.6,1142.7,1,16,28,16.3933,25.2467,193.01,0.057146,1.32539,194.415
1150628275,328,15712,12480,1101.25,1,16,28,16.3133,24.7733,166.103,0.060892,1.32761,167.517
1150628275,329,15726,12245.4,1143.06,1,16,23,16.1533,24.4933,155.151,0.079222,2.14252,157.398
1150628275,330,15744,12326.9,1138.8,1,16,27,16.2067,24.7467,190.911,0.061545,1.28563,192.284
1150628275,331,15708.6,11301.2,1109.13,1,16,27,16.1667,24.4467,178.063,0.079809,2.06891,180.24
1150628275,332,15697.5,11696.4,1030.19,1,16,26,16.2,24.8067,149.563,0.077166,2.02351,151.688
1150628275,333,15700.5,12739.1,1125.18,1,16,31,16.14,25.2867,185.513,0.057838,1.25238,186.847
1150628275,334,15697.6,12539.9,1044.78,1,16,26,16.1133,25.3667,171.303,0.086391,2.5037,173.919
1150628275,335,15696.9,12961.7,998.219,1,16,31,16.1133,24.7267,155.964,0.08013,2.121,158.191
1150628275,336,15707.6,13032.4,1013.66,1,16,25,16.14,25.5867,178.199,0.057923,1.36772,179.647
1150628275,337,15722.4,12871.2,1143.92,1,16,32,16.0867,26.0667,175.328,0.080037,2.10632,177.541
1150628275,338,15722.4,12942.4,1071.14,1,16,32,16.1,26.0867,158.727,0.090675,2.09299,160.938
1150628275,339,15727.8,12135,1096.65,1,16,26,16.0933,26.2467,213.06,0.077926,2.31136,215.476
1150628275,340,15726.9,12198.9,1050.73,1,16,33,16.16,26.5133,174.183,0.077295,2.07749,176.365
1150628275,341,15703,12256.2,1142.87,1,16,31,16.1733,26.86,150.957,0.079179,2.15533,153.218
1150628275,342,15732.9,11969,988.338,1,17,30,16.3133,26.7267,181.316,0.076859,2.09932,183.521
1150628275,343,15735,12401.2,1015.34,1,16,26,16.3,25.9867,189.006,0.124212,2.15194,191.316
1150628275,344,15735,12725.4,1118.19,1,16,26,16.1533,25.6933,189.55,0.061337,1.31382,190.948
1150628275,345,15711.7,12587.9,1005.83,1,17,28,16.0467,25.0533,153.465,0.078017,2.53262,156.102
1150628275,346,15750.5,12650.5,1119.17,1,16,23,16.1267,24.94,187.766,0.0809,3.01955,190.893
1150628275,347,15708.3,12979.4,1078.09,1,16,28,16.12,24.4133,173.828,0.091364,2.76724,176.713
1150628275,348,15746.4,12863.9,1045.04,1,16,23,16.1867,24.5733,187.371,0.063268,1.37007,188.831
1150628275,349,15751.8,12570.8,1160.79,1,16,23,16.1067,24.5933,167.151,0.080499,2.07956,169.337
1150628275,350,15749.4,13406.8,1199.49,1,16,21,16.0133,24.2933,168.031,0.080798,2.41058,170.549
1150628275,351,15759.5,12856,1002.65,1,16,26,16.0267,23.9333,255.977,0.092312,1.44904,257.551
1150628275,352,15758.9,12633.1,1120.87,1,16,25,16.0267,24.9733,124.443,0.077493,2.73148,127.278
1150628275,353,15755.6,12406.4,1177.3,1,16,22,16,25.2467,180.893,0.058139,1.39233,182.368
1150628275,354,15757.5,12989.2,1194.29,1,16,22,16.0267,25.1933,189.654,0.10439,2.06684,191.852
1150628275,355,15754.5,12891,1167.11,1,16,26,16.0333,25.3933,132.445,0.081295,3.62121,136.174
1150628275,356,15747.7,13272.8,1025.57,1,17,27,16.0333,25.72,188.827,0.060145,1.30647,190.219
1150628275,357,15758.5,12960.8,1109.42,1,16,24,16.1733,25.8933,120.348,0.077725,2.16854,122.621
1150628275,358,15769.6,12640.3,1086.08,1,16,29,16.22,26.1667,181.955,0.063612,1.34799,183.392
1150628275,359,15769.6,12539.1,1069.72,1,16,29,16.2067,26.6667,168.923,0.081622,2.21309,171.244
1150628275,360,15784.8,12764.6,1195.08,1,16,29,16.2733,26.5667,167.225,0.079098,2.99562,170.329
1150628275,361,15778.7,13028.9,1168.44,1,16,27,16.1,26.0733,175.114,0.076393,2.09187,177.309
1150628275,362,15763.8,12184.6,1081.04,1,16,23,16.1867,25.3,144.898,0.081437,2.17359,147.18
1150628275,363,15773.8,12912.6,974.412,1,16,25,16.1933,25.5267,171.753,0.079958,2.05377,173.913
1150628275,364,15774.2,13574,1124.68,1,16,22,16.0667,24.7933,199.105,0.061438,1.46923,200.66
1150628275,365,15774.2,12599,1090.49,1,16,22,16.1467,24.6933,178.357,0.083344,3.43529,181.903
1150628275,366,15774.2,12121.6,1105.83,1,16,22,16.1,24.4,151.544,0.082557,2.22727,153.888
1150628275,367,15774.2,12613.2,1089.62,1,16,22,16.2533,24.08,181.498,0.061286,1.37519,182.958
1150628275,368,15777.2,13050.9,1107.99,1,16,16,16.34,23.8867,145.3,0.079527,2.9594,148.367
1150628275,369,15777.2,12267.1,1140.99,1,16,16,16.42,23.7067,167.249,0.088547,2.11752,169.482
1150628275,370,15775,11883.8,977.514,1,16,26,16.5267,24.3733,185.257,0.082512,1.38307,186.756
1150628275,371,15775,12636.1,1061.97,1,16,26,16.62,24.9,145.582,0.083174,2.26151,147.954
1150628275,372,15757.7,12534.2,1057.69,1,17,26,16.5667,24.5667,263.185,0.100752,1.87473,265.196
1150628275,373,15758.6,11901.7,1070.05,1,17,27,16.5533,23.1933,148.644,0.086555,2.49739,151.259
1150628275,374,15759.5,11831.6,1071.95,1,17,31,16.68,23.4933,158.036,0.075091,2.15868,160.294
1150628275,375,15769,11992.1,1167.56,1,17,22,16.9267,23.98,205.633,0.067088,1.46177,207.191
1150628275,376,15779.7,12501.6,1077.99,1,17,22,16.78,24.1267,163.541,0.113687,4.34102,168.03
1150628275,377,15765.7,13041.2,1131.72,1,17,26,16.7333,24.6933,158.288,0.097053,3.85738,162.273
1150628275,378,15763.9,12070.1,1100.97,1,17,25,16.8933,25.0667,181.997,0.080617,1.38735,183.495
1150628275,379,15770.3,13090.8,1127.55,1,17,26,16.9867,25.0267,149.822,0.085949,2.38704,152.323
1150628275,380,15770.6,12263.6,1108.21,1,17,25,17.0933,25.1467,154.889,0.056898,1.64694,156.618
1150628275,381,15770.6,12575.7,1152.78,1,17,26,17.2067,25.6267,167.91,0.110947,2.34754,170.395
1150628275,382,15770.7,12465.7,1178.56,1,18,24,17.1067,25.08,157.647,0.085708,2.5747,160.337
1150628275,383,15763.7,12828.5,1201.76,1,18,28,17.12,24.62,184.496,0.069671,1.47188,186.064
1150628275,384,15766.7,12710.6,1107.46,1,17,23,17.1933,25.1,273.842,0.09364,5.69059,279.653
1150628275,385,15779.7,12763.4,1273.33,1,18,27,17.3533,25.2067,140.653,0.058333,1.45789,142.194
1150628275,386,15786.3,12342.4,1096.02,1,18,28,17.3733,25.1133,180.02,0.073033,1.45206,181.573
1150628275,387,15781.8,13201,1269.6,1,18,28,17.28,24.88,139.179,0.083998,2.30178,141.592
1150628275,388,15781.8,13276,1105.02,1,18,28,17.4533,25.4133,161.763,0.118915,12.3704,174.28
1150628275,389,15784.9,12734.8,1150.52,1,18,30,17.64,26.2133,188.468,0.088005,2.51959,191.103
1150628275,390,15777.1,12457,1138,1,17,27,17.66,25.6333,150.987,0.089782,4.54913,155.66
1150628275,391,15784.2,12671.3,1098.37,1,17,27,17.6533,25.7867,154.07,0.064714,1.55538,155.715
1150628275,392,15791.2,12551.6,1131.83,1,18,26,17.4667,26.3,169.23,0.154757,3.37807,172.796
1150628275,393,15791.2,12202.8,1042.16,1,18,26,17.66,26.5333,136.827,0.064927,3.11743,140.035
1150628275,394,15785.2,13560.4,1121.06,1,17,29,17.8133,26.2867,214.021,0.083014,1.56613,215.703
1150628275,395,15803.9,12824.1,1379.39,1,17,22,17.9067,26.3267,173.34,0.087971,2.40129,175.859
