seed,generation,best_fitness,mean_fitness,worst_fitness,num_species,best_nodes,best_connections,avg_nodes,avg_connections,time_eval_ms,time_speciate_ms,time_reproduce_ms,time_total_ms
6921106,0,38.5667,7.35066,3,1,24,63,24,63,27.8028,0.121496,5.58529,33.5856
6921106,1,58.0017,14.4184,3,1,25,64,24.078,63.044,36.3269,0.313777,5.59202,42.3019
6921106,2,90.045,21.4505,3,1,24,63,24.09,62.968,43.8129,0.263399,5.52197,49.6572
6921106,3,68.6433,21.2549,3,1,24,63,24.092,62.802,43.1455,0.173246,5.67551,49.0467
6921106,4,82.275,21.1679,3,1,24,63,24.128,62.788,44.1123,0.217154,5.82348,50.2134
6921106,5,82.275,21.1788,3,1,24,63,24.126,62.578,43.3638,0.170167,5.72892,49.3144
6921106,6,82.275,23.2762,3,1,24,63,24.106,62.534,45.1031,0.236438,6.12436,51.5257
6921106,7,107.885,24.6824,3,1,24,62,24.158,62.37,47.7426,0.18278,5.65791,53.6361
6921106,8,150.005,24.73,3,1,24,63,24.166,62.006,49.6645,0.196586,5.72696,55.6424
6921106,9,112.113,25.7032,3,1,24,61,24.262,62.09,48.226,0.180104,5.51825,53.9741
6921106,10,115.2,27.9473,3,1,24,63,24.244,61.7,51.6497,0.190674,5.95997,57.8629
6921106,11,115.2,25.8041,3,1,24,63,24.326,61.422,52.3843,0.276881,5.9795,58.7249
6921106,12,115.2,26.3247,3,1,24,63,24.35,60.882,56.3803,0.233138,6.11786,62.8026
6921106,13,115.2,26.9609,3,1,24,63,24.414,60.264,57.5571,0.274585,6.15349,64.0663
6921106,14,90.4867,27.0239,3,1,25,64,24.426,59.814,52.9853,0.261526,6.0142,59.3352
6921106,15,120.57,27.2098,3,1,24,56,24.568,59.368,48.5058,0.215878,6.06506,54.8483
6921106,16,120.57,28.1248,3,1,24,56,24.616,58.706,48.278,0.278036,6.3029,54.9181
6921106,17,111.16,26.7461,3,1,24,59,24.614,58.38,54.5105,0.199332,5.98686,60.756
6921106,18,120.73,27.3757,3,1,25,56,24.73,57.886,50.5704,0.207337,6.02325,56.8605
6921106,19,1192.63,29.5033,3,1,24,55,24.746,56.98,50.6258,0.198769,5.96416,56.8472
